time,time_sec,signal,pred_signal_linreg,residuals,FT_1,FT_2,FT_3,FT_4,FT_5,FT_6,FT_All,weekDate
2024-05-22 12:00:00,1857600.0,91,65.78457529227349,25.215424707726513,14864.434089792827,-1817.97318539616,1787.7570609133334,2137.3044180667653,-2017.9345954552898,-278.43378936478,14675.153998556692,2
2024-05-22 13:00:00,1861200.0,97,65.77475020034964,31.225249799650356,17999.07830267547,-4184.918959392076,1885.9367928695606,2308.6281846510883,-1820.5908450597674,-1658.6774718705765,14529.456003873698,2
2024-05-22 14:00:00,1864800.0,106,65.7649251084258,40.2350748915742,19907.115074113848,-5430.519077829061,1980.7543795324682,-942.270533570682,-1195.1111233852696,1137.028428170002,15456.997147031307,2
2024-05-22 15:00:00,1868400.0,97,65.75510001650196,31.244899983498044,20458.514851314692,-5221.015994880056,2072.0407852779863,-2796.383304104946,-288.58524409370267,1070.1082478038095,15294.679341317786,2
2024-05-22 16:00:00,1872000.0,92,65.74527492457811,26.254725075421888,19615.7006506927,-3612.5458924328755,2159.6332696788736,-505.24397944754145,685.8052650305398,-1690.9572178758356,16652.392095645857,2
2024-05-22 17:00:00,1875600.0,139,65.73544983265427,73.26455016734573,17436.108867204242,-1036.0970354881833,2243.375677629469,2534.8497754961118,1498.9196126005681,-194.80438292412114,22482.35251451809,2
2024-05-22 18:00:00,1879200.0,163,65.72562474073042,97.27437525926958,14068.275078947874,1817.9731853961036,2323.1187177304964,1817.3787761920953,1959.5432256646884,1791.7953866162507,23778.08437054751,2
2024-05-22 19:00:00,1882800.0,99,65.71579964880658,33.28420035119342,9741.71159298496,4184.918959392037,2398.7202284376554,-1594.1052966088107,1959.3543808063382,-732.6971590421298,15957.902705970051,2
2024-05-22 20:00:00,1886400.0,77,65.70597455688274,11.294025443117263,4751.26656089967,5430.519077829109,2470.045431499434,-2642.5483975144643,1498.3974873869456,-1412.5234285110184,10095.156731589677,2
2024-05-22 21:00:00,1890000.0,78,65.69614946495889,12.303850535041107,-562.9694354711316,5221.015994880076,2536.967172232454,226.22159084495925,685.0726440983302,1463.8730889464596,9570.181055531146,2
2024-05-22 22:00:00,1893600.0,69,65.68632437303505,3.313675626964951,-5838.83999516612,3612.5458924329205,2599.3661462058985,2759.649309762659,-289.35607526083965,654.7669584464014,3498.1322364209195,2
